CurrencyCode,CurrencyName,Buy,Transfer,Sell
AUD,AUSTRALIAN DOLLAR   ,"16,816.08","16,985.94","17,529.82"
CAD,CANADIAN DOLLAR     ,"18,463.15","18,649.65","19,246.80"
CHF,SWISS FRANC         ,"32,174.87","32,499.87","33,540.50"
CNY,YUAN RENMINBI       ,"3,606.81","3,643.24","3,759.89"
DKK,DANISH KRONE        ,-,"4,051.91","4,206.82"
EUR,EURO                ,"30,017.87","30,321.08","31,600.24"
GBP,POUND STERLING      ,"34,321.57","34,668.25","35,778.31"
HKD,HONGKONG DOLLAR     ,"3,296.51","3,329.81","3,457.11"
INR,INDIAN RUPEE        ,-,295.78,308.51
JPY,YEN                 ,170.24,171.96,181.05
KRW,KOREAN WON          ,16.19,17.99,19.52
KWD,KUWAITI DINAR       ,-,"85,892.53","90,055.08"
MYR,MALAYSIAN RINGGIT   ,-,"6,189.29","6,323.90"
NOK,NORWEGIAN KRONER    ,-,"2,578.59","2,687.91"
RUB,RUSSIAN RUBLE       ,-,299.29,331.29
SAR,SAUDI RIAL          ,-,"6,998.74","7,299.89"
SEK,SWEDISH KRONA       ,-,"2,735.70","2,851.68"
SGD,SINGAPORE DOLLAR    ,"19,875.45","20,076.21","20,760.53"
THB,THAILAND BAHT       ,723.32,803.69,837.76
USD,US DOLLAR           ,"26,183.00","26,213.00","26,453.00"
